"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2014","1.220","1.200","1.220","1.170","907.60K","3.39%"
"09/01/2014","1.180","1.180","1.200","1.180","47.06K","-0.84%"
"08/31/2014","1.190","1.200","1.230","1.160","154.48K","-3.25%"
"08/28/2014","1.230","1.170","1.230","1.170","377.48K","0.00%"
"08/27/2014","1.230","1.170","1.230","1.170","309.95K","-0.81%"
"08/26/2014","1.240","1.150","1.240","1.150","4.11M","6.90%"
"08/25/2014","1.160","1.150","1.170","1.150","349.59K","-0.85%"
"08/24/2014","1.170","1.200","1.240","1.170","470.88K","-2.50%"
"08/21/2014","1.200","1.190","1.200","1.170","221.93K","1.69%"
"08/20/2014","1.180","1.130","1.190","1.130","507.39K","2.61%"
"08/19/2014","1.150","1.150","1.150","1.140","422.36K","1.77%"
"08/18/2014","1.130","1.130","1.150","1.130","601.26K","-0.88%"
"08/17/2014","1.140","1.130","1.150","1.120","787.91K","0.00%"
"08/14/2014","1.140","1.120","1.140","1.120","1.02M","1.79%"
"08/13/2014","1.120","1.080","1.140","1.080","1.27M","2.75%"
"08/12/2014","1.090","1.080","1.090","1.080","4.09K","-0.91%"
"08/11/2014","1.100","1.090","1.100","1.090","1.01M","0.92%"
"08/10/2014","1.090","1.010","1.100","1.010","2.13M","-1.80%"
"08/07/2014","1.110","1.120","1.120","1.090","1.22M","0.00%"
"08/06/2014","1.110","1.110","1.120","1.090","2.79M","0.91%"
"08/05/2014","1.100","1.110","1.120","1.100","1.20M","-2.65%"
"08/04/2014","1.130","1.130","1.130","1.100","1.55M","0.00%"
"08/03/2014","1.130","1.110","1.130","1.110","500.13K","0.00%"
"07/31/2014","1.130","1.130","1.130","1.120","338.18K","-1.74%"
"07/24/2014","1.150","1.100","1.150","1.100","110.25K","4.55%"
"07/23/2014","1.100","1.100","1.110","1.100","265.64K","0.00%"
"07/22/2014","1.100","1.070","1.200","1.070","1.46M","-1.79%"
"07/21/2014","1.120","1.080","1.120","1.080","179.00K","0.90%"
"07/20/2014","1.110","1.140","1.150","1.100","288.50K","-3.48%"
"07/17/2014","1.150","1.150","1.150","1.130","135.54K","0.88%"
"07/16/2014","1.140","1.150","1.150","1.100","859.74K","4.59%"
"07/15/2014","1.090","1.130","1.150","1.050","2.34M","-4.39%"
